market,Total_Startups,Closed,Avg_Funding_USD,Avg_Rounds,Failure_Rate_%
FreetoPlay Gaming,6,1.0,8965573.6,1.6666666666666667,16.67
Mobile Coupons,6,1.0,4250000.0,1.6666666666666667,16.67
Mobile Video,6,1.0,4433750.0,1.8333333333333333,16.67
Postal and Courier Services,6,1.0,438114.6666666667,1.3333333333333333,16.67
Synchronization,6,1.0,1777000.0,1.3333333333333333,16.67
World Domination,6,1.0,17764844.0,2.5,16.67
Adventure Travel,6,0.0,296286.4,1.3333333333333333,0.0
Artists Globally,6,0.0,1902331.25,1.8333333333333333,0.0
Auto,6,0.0,2422848.6666666665,1.1666666666666667,0.0
Collectibles,6,0.0,590085.0,2.6666666666666665,0.0
Content Syndication,6,0.0,10007739.8,1.3333333333333333,0.0
Direct Marketing,6,0.0,8872823.166666666,2.5,0.0
Emerging Markets,6,0.0,7640000.0,1.3333333333333333,0.0
Employer Benefits Programs,6,0.0,4914348.0,1.8333333333333333,0.0
Film Production,6,0.0,262675000.0,1.1666666666666667,0.0
Geospatial,6,0.0,19879798.0,2.0,0.0
Google Apps,6,0.0,28678000.0,3.6666666666666665,0.0
Health and Insurance,6,0.0,7114532.833333333,1.8333333333333333,0.0
High Tech,6,0.0,8282500.0,1.3333333333333333,0.0
Human Computer Interaction,6,0.0,4552242.6,1.5,0.0
Innovation Management,6,0.0,3613333.3333333335,1.0,0.0
Intellectual Asset Management,6,0.0,2791528.0,1.0,0.0
Local Advertising,6,0.0,7065625.0,2.0,0.0
Material Science,6,0.0,4394204.666666667,2.5,0.0
Mining Technologies,6,0.0,10979748.0,1.0,0.0
Parking,6,0.0,2431258.2,1.1666666666666667,0.0
Sporting Goods,6,0.0,1788642.5,1.1666666666666667,0.0
Teenagers,6,0.0,1322648.3333333333,1.1666666666666667,0.0
Interest Graph,5,1.0,2757224.4,1.6,20.0
Proximity Internet,5,1.0,10645000.0,1.2,20.0
RFID,5,1.0,10545281.333333334,1.4,20.0
Surveys,5,1.0,3658426.4,1.8,20.0
Telephony,5,1.0,12497991.666666666,1.6,20.0
Algorithms,5,0.0,430200.8,2.2,0.0
Application Performance Monitoring,5,0.0,9004926.25,3.0,0.0
Bio-Pharm,5,0.0,35507121.75,2.6,0.0
Bioinformatics,5,0.0,3744164.0,1.6,0.0
Biometrics,5,0.0,987459.25,2.0,0.0
Brokers,5,0.0,28999348.0,2.6,0.0
Charter Schools,5,0.0,1377000.0,1.6,0.0
DIY,5,0.0,3755000.0,1.2,0.0
Distributors,5,0.0,29426705.2,1.2,0.0
Embedded Hardware and Software,5,0.0,849589.6,1.2,0.0
Engineering Firms,5,0.0,24512500.0,1.4,0.0
Enterprise Resource Planning,5,0.0,44036723.75,3.0,0.0
Farming,5,0.0,25066775.0,1.2,0.0
Fleet Management,5,0.0,19514592.4,1.6,0.0
Fraud Detection,5,0.0,23133333.333333332,1.6,0.0
Government Innovation,5,0.0,6483750.0,3.8,0.0
Home Renovation,5,0.0,369200.0,2.0,0.0
Industrial Automation,5,0.0,1753666.6666666667,2.4,0.0
Interface Design,5,0.0,2295664.3333333335,1.0,0.0
Interior Design,5,0.0,1941666.6666666667,1.4,0.0
Kinect,5,0.0,381762.8,1.6,0.0
Knowledge Management,5,0.0,215833.33333333334,1.4,0.0
Mobile Analytics,5,0.0,14916666.666666666,2.0,0.0
Mobile Enterprise,5,0.0,2730000.0,1.2,0.0
Nightclubs,5,0.0,2271760.0,1.8,0.0
Organic,5,0.0,2943750.0,1.6,0.0
Product Development Services,5,0.0,6837500.0,1.6,0.0
Recipes,5,0.0,28516253.75,3.0,0.0
Skill Assessment,5,0.0,863043.4,2.8,0.0
Social Television,5,0.0,1227009.75,1.6,0.0
Specialty Retail,5,0.0,51025000.0,1.8,0.0
Sponsorship,5,0.0,998750.0,2.2,0.0
Textiles,5,0.0,2548414.6,1.0,0.0
Wealth Management,5,0.0,34122812.5,2.2,0.0
DOD/Military,4,3.0,1085296.5,1.25,75.0
Flowers,4,1.0,241666.66666666666,1.25,25.0
SNS,4,1.0,14048618.25,2.0,25.0
Vertical Search,4,1.0,545000.0,1.5,25.0
Advertising Networks,4,0.0,2733333.3333333335,1.0,0.0
Bridging Online and Offline,4,0.0,642500.0,1.5,0.0
Business Information Systems,4,0.0,7759333.333333333,1.5,0.0
Coffee,4,0.0,12268678.25,1.5,0.0
College Recruiting,4,0.0,164573.5,1.5,0.0
Consumer Behavior,4,0.0,1605000.0,1.75,0.0
Corporate IT,4,0.0,11601105.0,2.75,0.0
Craigslist Killers,4,0.0,6934687.5,2.0,0.0
Data Center Infrastructure,4,0.0,27687206.666666668,1.75,0.0
Designers,4,0.0,4800000.0,1.25,0.0
Elder Care,4,0.0,11774999.0,2.0,0.0
Electric Vehicles,4,0.0,7352686.75,2.0,0.0
Electrical Distribution,4,0.0,12126456.333333334,1.5,0.0
English-Speaking,4,0.0,29193750.0,1.5,0.0
Enterprise Security,4,0.0,11600000.0,2.25,0.0
Financial Exchanges,4,0.0,34396279.333333336,1.75,0.0
Game Mechanics,4,0.0,28547500.0,3.5,0.0
Groceries,4,0.0,24936000.0,1.75,0.0
Health Services Industry,4,0.0,3678120.3333333335,1.0,0.0
Humanitarian,4,0.0,5537500.0,2.25,0.0
Industrial,4,0.0,1221333.3333333333,1.5,0.0
Innovation Engineering,4,0.0,17489667.5,2.0,0.0
Intellectual Property,4,0.0,5300000.0,1.25,0.0
Internet Service Providers,4,0.0,32793935.0,2.0,0.0
Lead Management,4,0.0,16530404.0,2.5,0.0
Logistics Company,4,0.0,1619213.3333333333,1.5,0.0
Minerals,4,0.0,2083333.3333333333,1.0,0.0
Mobile Emergency&Health,4,0.0,380000.0,1.25,0.0
Office Space,4,0.0,827560.5,2.25,0.0
Offline Businesses,4,0.0,8231250.0,2.0,0.0
Online Auctions,4,0.0,2203989.3333333335,1.0,0.0
Outdoors,4,0.0,135059.0,1.0,0.0
Q&A,4,0.0,3537666.6666666665,1.25,0.0
Real Estate Investors,4,0.0,19065000.0,1.0,0.0
Shared Services,4,0.0,5022024.0,1.0,0.0
Soccer,4,0.0,408703.25,1.75,0.0
Speech Recognition,4,0.0,5098869.0,3.0,0.0
Taxis,4,0.0,4109354.5,2.0,0.0
Text Analytics,4,0.0,2120356.75,1.75,0.0
Ventures for Good,4,0.0,30000.0,1.0,0.0
Virtual Workforces,4,0.0,23433333.333333332,1.5,0.0
Windows Phone 7,4,0.0,4815244.5,3.0,0.0
Archiving,3,1.0,8728514.333333334,1.6666666666666667,33.33
Contests,3,1.0,30000.0,1.0,33.33
Personal Branding,3,1.0,12223333.333333334,2.6666666666666665,33.33
Trusted Networks,3,1.0,5065000.0,1.6666666666666667,33.33
WebOS,3,1.0,723650.0,1.0,33.33
Bicycles,3,0.0,4575000.0,2.0,0.0
Carbon,3,0.0,2525921.0,1.0,0.0
Certification Test,3,0.0,11800000.0,1.3333333333333333,0.0
Comics,3,0.0,770000.0,1.0,0.0
Consumer Lending,3,0.0,826553.5,1.0,0.0
Coworking,3,0.0,18200000.0,1.6666666666666667,0.0
Creative Industries,3,0.0,6464675.0,2.3333333333333335,0.0
Cyber,3,0.0,21200000.0,2.3333333333333335,0.0
Direct Sales,3,0.0,250440.0,1.6666666666666667,0.0
Energy IT,3,0.0,1405666.6666666667,1.6666666666666667,0.0
Eyewear,3,0.0,1322333.3333333333,1.3333333333333333,0.0
Families,3,0.0,456666.6666666667,1.6666666666666667,0.0
Farmers Market,3,0.0,500000.0,1.0,0.0
Green Consumer Goods,3,0.0,5445092.666666667,2.0,0.0
Handmade,3,0.0,1200000.0,1.6666666666666667,0.0
Human Resource Automation,3,0.0,5872344.0,2.6666666666666665,0.0
Indoor Positioning,3,0.0,12613333.333333334,3.6666666666666665,0.0
Intelligent Systems,3,0.0,4067425.3333333335,2.3333333333333335,0.0
Internet Radio Market,3,0.0,3824533.3333333335,1.6666666666666667,0.0
Internet Technology,3,0.0,13485455.0,1.6666666666666667,0.0
Mac,3,0.0,3790000.0,1.3333333333333333,0.0
Mechanical Solutions,3,0.0,400060.0,1.0,0.0
Music Education,3,0.0,2200000.0,1.3333333333333333,0.0
Online Identity,3,0.0,28808333.333333332,2.3333333333333335,0.0
Procurement,3,0.0,868333.3333333334,1.0,0.0
Product Search,3,0.0,400000.0,2.0,0.0
Public Safety,3,0.0,9567804.666666666,1.0,0.0
Religion,3,0.0,16500000.0,1.3333333333333333,0.0
Self Development,3,0.0,178383.0,1.0,0.0
Semiconductor Manufacturing Equipment,3,0.0,19550000.0,1.6666666666666667,0.0
Smart Building,3,0.0,617595.5,1.6666666666666667,0.0
Social Innovation,3,0.0,15050000.0,1.3333333333333333,0.0
Spas,3,0.0,871750.0,1.0,0.0
Specialty Chemicals,3,0.0,36750000.0,2.3333333333333335,0.0
Test and Measurement,3,0.0,9635169.0,4.333333333333333,0.0
Usability,3,0.0,528579.3333333334,2.0,0.0
Video Editing,3,0.0,312500.0,1.0,0.0
Virtual Goods,3,0.0,5500000.0,1.3333333333333333,0.0
iPod Touch,3,0.0,1446000.0,1.6666666666666667,0.0
Commodities,2,1.0,4047500.0,1.5,50.0
Digital Rights Management,2,1.0,15000000.0,1.0,50.0
Photo Editing,2,1.0,27000000.0,2.0,50.0
Advanced Materials,2,0.0,,1.0,0.0
Advertising Exchanges,2,0.0,38710010.0,3.5,0.0
Alternative Medicine,2,0.0,3673500.0,1.5,0.0
Angels,2,0.0,834623.5,1.5,0.0
Animal Feed,2,0.0,3832500.0,1.5,0.0
Assisitive Technology,2,0.0,670000.0,1.0,0.0
BPO Services,2,0.0,,1.0,0.0
Baby Accessories,2,0.0,30566474.0,2.5,0.0
Boating Industry,2,0.0,966000.0,1.5,0.0
CAD,2,0.0,3411846.5,1.5,0.0
Casual Games,2,0.0,800000.0,3.0,0.0
Cloud-Based Music,2,0.0,104000000.0,1.0,0.0
College Campuses,2,0.0,100000.0,1.5,0.0
Commercial Solar,2,0.0,1280000.0,1.0,0.0
Corporate Wellness,2,0.0,5834000.0,3.0,0.0
Cosmetic Surgery,2,0.0,115119.0,1.0,0.0
Data Center Automation,2,0.0,31385001.0,4.5,0.0
Data Privacy,2,0.0,12082500.0,4.0,0.0
Deep Information Technology,2,0.0,3376190.0,2.0,0.0
Demographies,2,0.0,11650000.0,2.0,0.0
EBooks,2,0.0,825000.0,1.0,0.0
Enterprise Application,2,0.0,19167487.0,3.5,0.0
Enterprise Hardware,2,0.0,228052.0,1.5,0.0
Estimation and Quoting,2,0.0,800000.0,1.0,0.0
Face Recognition,2,0.0,12575000.0,3.5,0.0
Film Distribution,2,0.0,830000.0,1.0,0.0
Franchises,2,0.0,3517500.0,1.0,0.0
Genetic Testing,2,0.0,27614441.0,5.5,0.0
Gift Exchange,2,0.0,2551031.0,1.0,0.0
Gift Registries,2,0.0,2015000.0,1.0,0.0
Gold,2,0.0,1919539.0,1.0,0.0
Group SMS,2,0.0,1500000.0,1.0,0.0
Heavy Industry,2,0.0,45299500.0,2.0,0.0
Hedge Funds,2,0.0,1580000.0,2.0,0.0
ICT,2,0.0,150000.0,1.0,0.0
In-Flight Entertainment,2,0.0,2619980.0,2.5,0.0
Infrastructure Builders,2,0.0,1700000.0,2.0,0.0
Lasers,2,0.0,,1.0,0.0
Lifestyle Products,2,0.0,141032.0,1.0,0.0
Local Coupons,2,0.0,87500.0,1.0,0.0
Medical Marijuana Patients,2,0.0,137500.0,1.0,0.0
Mobile Infrastructure,2,0.0,18235300.0,2.5,0.0
Motion Capture,2,0.0,223028.5,1.0,0.0
Musicians,2,0.0,225000.0,1.0,0.0
Neuroscience,2,0.0,20775000.0,1.5,0.0
New Technologies,2,0.0,100000.0,1.5,0.0
Outdoor Advertising,2,0.0,1582500.0,3.0,0.0
Physical Security,2,0.0,848798.0,1.5,0.0
Plumbers,2,0.0,9084672.5,4.0,0.0
Racing,2,0.0,35784617.0,1.0,0.0
Rapidly Expanding,2,0.0,10500000.0,1.0,0.0
Recreation,2,0.0,128660000.0,1.0,0.0
Registrars,2,0.0,275000.0,1.0,0.0
Renewable Tech,2,0.0,447500.0,1.0,0.0
Residential Solar,2,0.0,3250000.0,1.5,0.0
Senior Health,2,0.0,1250000.0,1.0,0.0
Simulation,2,0.0,2642000.0,1.5,0.0
Social News,2,0.0,505000.0,1.5,0.0
Software Compliance,2,0.0,700000.0,1.5,0.0
Sunglasses,2,0.0,15228604.0,4.0,0.0
Tea,2,0.0,3704666.0,1.0,0.0
Technical Continuing Education,2,0.0,870000.0,1.5,0.0
Transaction Processing,2,0.0,11750000.0,3.0,0.0
Twin-Tip Skis,2,0.0,4025000.0,2.5,0.0
Veterinary,2,0.0,34623.0,1.0,0.0
Video Processing,2,0.0,335000.0,1.5,0.0
Young Adults,2,0.0,1100000.0,1.5,0.0
Social Media Agent,1,1.0,10000.0,1.0,100.0
Alumni,1,0.0,610000.0,1.0,0.0
App Discovery,1,0.0,1850000.0,2.0,0.0
Automated Kiosk,1,0.0,375000.0,1.0,0.0
B2B Express Delivery,1,0.0,105000000.0,4.0,0.0
Baby Boomers,1,0.0,167000.0,1.0,0.0
Biofuels,1,0.0,414800.0,1.0,0.0
Biomass Power Generation,1,0.0,3000000.0,1.0,0.0
Biotechnology and Semiconductor,1,0.0,13486929.0,2.0,0.0
Cable,1,0.0,8704000.0,2.0,0.0
Call Center Automation,1,0.0,15000000.0,1.0,0.0
China Internet,1,0.0,3200000.0,1.0,0.0
Civil Engineers,1,0.0,5000000.0,1.0,0.0
Clean Technology IT,1,0.0,38817.0,1.0,0.0
Contact Centers,1,0.0,1000000.0,1.0,0.0
Custom Retail,1,0.0,119657790.0,1.0,0.0
Debt Collecting,1,0.0,,1.0,0.0
Dietary Supplements,1,0.0,,1.0,0.0
Distributed Generation,1,0.0,30000000.0,1.0,0.0
EDA Tools,1,0.0,,1.0,0.0
Early-Stage Technology,1,0.0,2650000.0,1.0,0.0
Email Newsletters,1,0.0,50000.0,1.0,0.0
Energy Storage,1,0.0,671830.0,1.0,0.0
Enterprise 2.0,1,0.0,11298100.0,3.0,0.0
Enterprise Purchasing,1,0.0,31300000.0,2.0,0.0
Fuels,1,0.0,1431376.0,4.0,0.0
Funeral Industry,1,0.0,1250000.0,1.0,0.0
Gadget,1,0.0,4300000.0,2.0,0.0
Gas,1,0.0,400000.0,2.0,0.0
General Public Worldwide,1,0.0,600000.0,1.0,0.0
Golf Equipment,1,0.0,450000.0,1.0,0.0
Google Glass,1,0.0,100000.0,1.0,0.0
Governance,1,0.0,8000000.0,3.0,0.0
Green Building,1,0.0,,1.0,0.0
Home Owners,1,0.0,22000.0,1.0,0.0
Homeland Security,1,0.0,6000000.0,1.0,0.0
Homeless Shelter,1,0.0,1260000.0,1.0,0.0
Independent Music Labels,1,0.0,,1.0,0.0
Industrial Energy Efficiency,1,0.0,24656275.0,6.0,0.0
Insurance Companies,1,0.0,10400000.0,1.0,0.0
Internet Infrastructure,1,0.0,5664000.0,3.0,0.0
Lifestyle Businesses,1,0.0,1100000.0,1.0,0.0
Lingerie,1,0.0,20000000.0,1.0,0.0
Local Commerce,1,0.0,540000.0,2.0,0.0
Lotteries,1,0.0,,1.0,0.0
Low Bid Auctions,1,0.0,,1.0,0.0
Moneymaking,1,0.0,100000.0,1.0,0.0
Motors,1,0.0,30200000.0,1.0,0.0
Multi-level Marketing,1,0.0,35000000.0,1.0,0.0
Music Venues,1,0.0,775000.0,1.0,0.0
Musical Instruments,1,0.0,100000.0,1.0,0.0
Natural Gas Uses,1,0.0,400000000.0,1.0,0.0
New Product Development,1,0.0,60000.0,1.0,0.0
Niche Specific,1,0.0,,2.0,0.0
PC Gaming,1,0.0,2258000.0,6.0,0.0
Performing Arts,1,0.0,,1.0,0.0
Personal Data,1,0.0,5564999.0,3.0,0.0
Quantified Self,1,0.0,175000.0,3.0,0.0
Quantitative Marketing,1,0.0,6000000.0,3.0,0.0
RIM,1,0.0,2300000.0,1.0,0.0
Radical Breakthrough Startups,1,0.0,6500000.0,2.0,0.0
Reading Apps,1,0.0,3000000.0,1.0,0.0
Realtors,1,0.0,,1.0,0.0
Rehabilitation,1,0.0,,4.0,0.0
Remediation,1,0.0,2000000.0,1.0,0.0
Resorts,1,0.0,18992723.0,3.0,0.0
Retirement,1,0.0,2000000.0,1.0,0.0
Rural Energy,1,0.0,,1.0,0.0
Self Storage,1,0.0,260000.0,2.0,0.0
Senior Citizens,1,0.0,2100000.0,1.0,0.0
Service Industries,1,0.0,16820000.0,4.0,0.0
Sex,1,0.0,4800000.0,2.0,0.0
Social Investing,1,0.0,3230000.0,5.0,0.0
Social Opinion Platform,1,0.0,7000000.0,2.0,0.0
Space Travel,1,0.0,37500000.0,3.0,0.0
Swimming,1,0.0,104000.0,1.0,0.0
Synthetic Biology,1,0.0,,1.0,0.0
TV Production,1,0.0,50000000.0,1.0,0.0
Theatre,1,0.0,60000.0,1.0,0.0
Timeshares,1,0.0,5000000.0,1.0,0.0
Unmanned Air Systems,1,0.0,40000.0,1.0,0.0
Vending and Concessions,1,0.0,1100000.0,2.0,0.0
Web Presence Management,1,0.0,40000.0,1.0,0.0
Weird Hardware,1,0.0,,1.0,0.0
Wind,1,0.0,14000000.0,2.0,0.0
Writers,1,0.0,345000.0,3.0,0.0
